Term IRI	Term label	Parent term IRI	Parent term label	Alternative term	Definition
http://purl.obolibrary.org/obo/ENVO_03501118	public transport hub	http://purl.obolibrary.org/obo/ENVO_03501117	transport hub		A transport hub which is part of public infrastructure.
http://purl.obolibrary.org/obo/ENVO_03501119	agricultural experimental station	http://purl.obolibrary.org/obo/ENVO_00003919	research station		A research station in which food production and/or agribusinness research is performed.
http://purl.obolibrary.org/obo/ENVO_03501120	dairy farm	http://purl.obolibrary.org/obo/ENVO_00000078	farm		A farm which produces milk or products derived from milk.
http://purl.obolibrary.org/obo/ENVO_03501122	airport	http://purl.obolibrary.org/obo/ENVO_00000070	human construction		A human construction with extended facilities from which aircraft flight operations take place.
http://purl.obolibrary.org/obo/ENVO_03501123	airport terminal	http://purl.obolibrary.org/obo/ENVO_00003861	industrial building		An industrial building in an airport where passengers transfer between facilities and vehicles.
http://purl.obolibrary.org/obo/ENVO_03501124	airport concourse	http://purl.obolibrary.org/obo/ENVO_00003861	industrial building		An industrial building which provides travelers with access to airplanes.
http://purl.obolibrary.org/obo/ENVO_03501125	airport transit lounge	http://purl.obolibrary.org/obo/ENVO_01000426	room		A room in an airport where en-route passengers can wait between flights..
http://purl.obolibrary.org/obo/ENVO_03501126	church building	http://purl.obolibrary.org/obo/ENVO_00000073	building		A building which is primarily used for Christian religious activities.
http://purl.obolibrary.org/obo/ENVO_03501128	conference room	http://purl.obolibrary.org/obo/ENVO_01000426	room		A room which accommodates conferences.
http://purl.obolibrary.org/obo/ENVO_03501132	fire station	http://purl.obolibrary.org/obo/ENVO_03501197	institutional building		An institutional building in which firefighting apparati are stored, and which may include staff living spaces.
http://purl.obolibrary.org/obo/ENVO_03501134	healthcare facility	http://purl.obolibrary.org/obo/ENVO_00000070	human construction		A human construction in which healthcare is provided.
http://purl.obolibrary.org/obo/ENVO_03501141	coronary care unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide cardiac patient care.
http://purl.obolibrary.org/obo/ENVO_03501143	discharge unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which houses patients ready to leave the hospital facility.
http://purl.obolibrary.org/obo/ENVO_03501144	emergency unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide emergency medicine services.
http://purl.obolibrary.org/obo/ENVO_03501149	geriatric intensive care unit facility	http://purl.obolibrary.org/obo/ENVO_03501152	intensive care unit facility		An intensive care unit facility which is used to provide care of critically ill elderly patients.
http://purl.obolibrary.org/obo/ENVO_03501153	surgical intensive care unit facility	http://purl.obolibrary.org/obo/ENVO_03501152	intensive care unit facility		An intensive care unit facility which is used to provide  surgical services for critically ill patients.
http://purl.obolibrary.org/obo/ENVO_03501154	traumatic intensive care unit facility	http://purl.obolibrary.org/obo/ENVO_03501152	intensive care unit facility		An intensive care unit facility which is used to provide medical care for trauma patients.
http://purl.obolibrary.org/obo/ENVO_03501155	intensive care unit room	http://purl.obolibrary.org/obo/ENVO_01000426	room		A room in which intensive medical care is provided.
http://purl.obolibrary.org/obo/ENVO_03501156	maternity unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide materinity care.
http://purl.obolibrary.org/obo/ENVO_03501157	mobile intensive care ambulance	http://purl.obolibrary.org/obo/ENVO_03501103	ambulance		An ambulance which is equiped to enable intensive care service provision.
http://purl.obolibrary.org/obo/ENVO_03501170	pediatric intensive care unit facility	http://purl.obolibrary.org/obo/ENVO_03501152	intensive care unit facility		A hospital unit facility which is used to provide pediatric intensive care.
http://purl.obolibrary.org/obo/ENVO_03501171	pharmacy unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide pharmacy services.
