Agreement biome (exact match),biome_exact_match_mean,biome_exact_match_sd,Agreement biome (lenient match),biome_lenient_match_mean,biome_lenient_match_sd,sample_size,Filename,Average Similarity,Median Similarity,Standard Deviation,subbiome_sample_size,95th Percentile,MWU Statistic,MWU P-value,Label
"83.4%
(n=500)",83.4,37.0,"83.4%
(n=500)",83.4,37.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp0.0_rs22_batchKcsV0wRxs2BFSS1dxWjXoCgq_dt202406071420.csv,0.58,0.59,0.24,494.0,[0.4  0.59 0.76],221053.0,0.0,async_presp0.0
"81.8%
(n=500)",81.8,39.0,"81.8%
(n=500)",81.8,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.0_rs22_batchMPSOJiGWXtHSlVNfGJnR28vS_dt202406071421.csv,0.57,0.58,0.25,495.0,[0.38 0.58 0.74],220767.5,0.0,async_presp1.0
"82.6%
(n=500)",82.6,38.0,"82.6%
(n=500)",82.6,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch531mkNXTyMyYTSBJiWVwcLm7_dt202406071408.csv,0.58,0.58,0.25,495.0,[0.39 0.58 0.76],220697.5,0.0,async_presp1.5
"83.0%
(n=500)",83.0,38.0,"83.0%
(n=500)",83.0,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp2.0_rs22_batchDs2ASNWkbUmXrtZn2Mlw5dJY_dt202406071422.csv,0.58,0.58,0.25,496.0,[0.38 0.58 0.75],220848.5,0.0,async_presp2.5
,,,,,,,,,,,,,,,
"78.16%
(n=499)",78.16,41.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051326.txt,0.51,0.5,0.24,455.0,[0.31 0.5  0.69],178703.5,0.0,sync_inl_rs22
"78.56%
(n=499)",78.56,41.0,"78.96%
(n=499)",78.96,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API119_repeat_dt202406061246.txt,0.5,0.48,0.24,462.0,[0.31 0.48 0.66],182818.0,0.0,sync_inl_rs22_rep1
"79.76%
(n=499)",79.76,40.0,"79.76%
(n=499)",79.76,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API503_timeTue1800CESTrep_dt202407301808.txt,0.5,0.47,0.23,435.0,[0.31 0.47 0.66],163947.5,0.0,sync_inl_rs22_rep10
"80.16%
(n=499)",80.16,40.0,"80.16%
(n=499)",80.16,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_timeTue2100CEST_dt202407302116.txt,0.49,0.47,0.24,434.0,[0.29 0.47 0.66],158717.5,0.0,sync_inl_rs22_rep11
"79.76%
(n=499)",79.76,40.0,"79.76%
(n=499)",79.76,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_timeTue2100CESTrep_dt202407302129.txt,0.49,0.46,0.24,439.0,[0.3  0.46 0.65],162402.0,0.0,sync_inl_rs22_rep12
"80.16%
(n=499)",80.16,40.0,"80.16%
(n=499)",80.16,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API500_timeSat1600CEST_dt202407271555.txt,0.49,0.46,0.24,440.0,[0.3  0.46 0.64],165517.5,0.0,sync_inl_rs22_rep2
